BSU03870,ycnE,BKE03870,,
BSU03880,yczG,BKE03880,,
BSU03890,gabR,BKE03890,,
BSU03900,gabT,BKE03900,,
BSU03910,gabD,BKE03910,,
BSU03920,glcU,BKE03920,,
BSU03930,gdh,BKE03930,,
BSU03940,ycnI,BKE03940,,
BSU03950,ycnJ,BKE03950,,
BSU03960,ycnK,BKE03960,,
BSU03970,ycnL,BKE03970,,
BSU03981,mtlA,BKE03981,,
BSU03982,mtlF,BKE03982,,
BSU03990,mtlD,BKE03990,,
BSU04000,ycsA,BKE04000,,
BSU04010,sipU,BKE04010,,
BSU04020,yczH,BKE04020,,
BSU04030,ycsD,BKE04030,,
BSU04039,yczO,BKE04039,,
BSU04040,ycsE,BKE04040,,
BSU04050,ycsF,BKE04050,,
BSU04060,ycsG,BKE04060,,
BSU04070,ycsI,BKE04070,,
BSU04080,kipI,BKE04080,,
BSU04090,kipA,BKE04090,,
BSU04100,kipR,BKE04100,,
BSU04110,lipC,BKE04110,,
BSU04120,yczI,BKE04120,,
BSU04130,yczJ,BKE04130,,
BSU04140,pbpC,BKE04140,,
BSU04150,ycsN,BKE04150,,
BSU04160,mtlR,BKE04160,,
BSU04170,ydaB,BKE04170,,
BSU04180,ydaC,BKE04180,,
BSU04190,ydaD,BKE04190,,
BSU04200,ydaE,BKE04200,,
BSU04210,ydaF,BKE04210,,
BSU04220,ydaG,BKE04220,,
BSU04230,ydaH,BKE04230,,
BSU04240,ydzA,BKE04240,,
BSU04250,lrpC,BKE04250,,
BSU04260,topB,BKE04260,,
BSU04270,ydaJ,BKE04270,,
BSU04280,ydaK,BKE04280,,
BSU04290,ydaL,BKE04290,,
BSU04300,ydaM,BKE04300,,
BSU04310,ydaN,BKE04310,,
BSU04320,ydaO,BKE04320,,
BSU04330,mutT,BKE04330,,
BSU04340,ydaP,BKE04340,,
BSU04359,ydzK,BKE04359,,
BSU04360,mntH,BKE04360,,
BSU04370,ydaS,BKE04370,,
BSU04380,ydaT,BKE04380,,
BSU04390,ydbA,BKE04390,,
BSU04400,gsiB,BKE04400,,
BSU04410,ydbB,BKE04410,,
BSU04420,ydbC,BKE04420,,
BSU04430,ydbD,BKE04430,,
BSU04440,dctB,BKE04440,,
BSU04450,dctS,BKE04450,,
BSU04460,dctR,BKE04460,,
BSU04470,dctP,BKE04470,,
BSU04480,ydbI,BKE04480,,
BSU04490,ydbJ,BKE04490,,
BSU04500,ydbK,BKE04500,,
BSU04510,ydbL,BKE04510,,
BSU04520,ydbM,BKE04520,,
BSU04530,ydbN,BKE04530,,
BSU04540,ydbO,BKE04540,,
BSU04550,ydbP,BKE04550,,
BSU04580,cshA,BKE04580,,
BSU04590,ydbS,BKE04590,,
BSU04600,ydbT,BKE04600,,
BSU04610,ydcA,BKE04610,,
BSU04620,acpS,BKE04620,,
BSU04630,ydcC,BKE04630,,
BSU04650,endB,BKE04650,,
BSU04660,ndoA,BKE04660,,
BSU04670,rsbRA,BKE04670,,
BSU04680,rsbS,BKE04680,,
BSU04690,rsbT,BKE04690,,
BSU04700,rsbU,BKE04700,,
BSU04710,rsbV,BKE04710,,
BSU04720,rsbW,BKE04720,,
BSU04730,sigB,BKE04730,,
BSU04740,rsbX,BKE04740,,
BSU04750,ydcF,BKE04750,,
BSU04760,ydcG,BKE04760,,
BSU04770,ydcH,BKE04770,,
BSU04780,ydcI,BKE04780,,
BSU04790,ydcK,BKE04790,,
BSU04800,ydcL,BKE04800,,
BSU04810,immA,BKE04810,,
BSU04820,immR,BKE04820,,
BSU04830,sacV,BKE04830,,
BSU04839,ydzL,BKE04839,,
BSU04840,ydcO,BKE04840,,
BSU04850,ydcP,BKE04850,,
BSU04860,ydcQ,BKE04860,,
BSU04870,ydcR,BKE04870,,
BSU04880,ydcS,BKE04880,,
BSU04890,ydcT,BKE04890,,
BSU04900,yddA,BKE04900,,
BSU04910,yddB,BKE04910,,
BSU04920,yddC,BKE04920,,
BSU04930,yddD,BKE04930,,
BSU04940,yddE,BKE04940,,
BSU04950,yddF,BKE04950,,
BSU04960,yddG,BKE04960,,
BSU04970,yddH,BKE04970,,
