ID_ECK,ID_b,ID_JW,name,strain_loc_plate,strain_loc_column,strain_loc_row,category_strain_1_odd_plate,category_strain_2_even_plate,comment
ECK2619,b2623,JW2603,yfjH,"11, 12",G,2,verified,verified,
ECK2620,b2624,JW2604,alpA,"85, 86",F,9,verified,verified,
ECK2621,b2625,JW2605,yfjI,"11, 12",H,2,verified,verified,
ECK2622,b2626,JW2607,yfjJ,"83, 84",D,1,verified,verified,
ECK2623,b2627,JW2608,yfjK,"11, 12",A,3,verified,verified,
ECK2624,b2628,JW2609,yfjL,"11, 12",B,3,verified,verified,
ECK2625,b2629,JW2610,yfjM,"11, 12",C,3,verified,verified,
ECK2626,b2630,JW2611,yfjN,"11, 12",D,3,verified,verified,
ECK2627,b2631,JW5418,yfjO,"77, 78",H,12,verified,verified,
ECK2628,b2632,JW5419,yfjP,"79, 80",A,1,verified,verified,
ECK2629,b2633,JW2614,yfjQ,"11, 12",F,3,verified,verified,
ECK2630,b2634,JW2615,yfjR,"27, 28",G,4,verified,verified,
ECK2632,b2636,JW5921,yfjS,"83, 84",E,1,verified,verified,
ECK2633,b2637,JW2618,yfjT,"29, 30",E,10,verified,verified,
ECK2634,b2638,JW2619,yfjU,"27, 28",H,4,verified,verified,
ECK2635,b2639,JW5922,ypjL,"27, 28",A,5,verified,verified,
ECK2636,b2640,JW2621,yfjV,"5, 6",H,11,verified,verified,
ECK2637,b2641,JW5420,ypjM,"87, 88",D,6,verified,verified,
ECK2638,b2642,JW2623,yfjW,"11, 12",G,3,verified,verified,
ECK2639,b2643,JW2624,yfjX,"11, 12",A,4,verified,verified,
ECK2640,b2644,JW2625,yfjY,"17, 18",F,10,mixture,mixture,
ECK2641,b4548,JW5421,ypjJ,"69, 70",E,4,verified,verified,
ECK2642,b2645,JW2626,yfjZ,"83, 84",F,1,verified,verified,
ECK2643,b2646,JW2627,ypjF,"11, 12",B,4,verified,verified,
ECK2644,b2647,JW5422,ypjA,"79, 80",B,1,verified,verified,
ECK2645,b2648,JW5423,pinH,"85, 86",D,12,verified,verified,
ECK2646,b2649,JW2629,ypjB,"5, 6",B,12,verified,verified,
ECK2647,b2650,JW5424,ypjC,"79, 80",C,1,verified,verified,
ECK2649,b2654,JW5425,ygaQ,"69, 70",F,4,verified,verified,
ECK2650,b4462,JW2631,ygaR,"11, 12",C,4,verified,verified,
ECK2651,b2657,JW5426,yqaC,"79, 80",D,1,verified,verified,
ECK2652,b2658,JW2633,yqaD,"5, 6",E,12,verified,verified,
ECK2653,b2659,JW5427,ygaT,"79, 80",E,1,verified,verified,
ECK2654,b2660,JW2635,ygaF,"23, 24",B,1,verified,verified,
ECK2655,b2661,JW2636,gabD,"47, 48",C,7,verified,verified,
ECK2656,b2662,JW2637,gabT,"83, 84",A,11,verified,verified,
ECK2657,b2663,JW2638,gabP,"57, 58",B,10,verified,verified,
ECK2658,b2664,JW2639,csiR,"61, 62",D,1,verified,verified,
ECK2659,b2665,JW2640,ygaU,"27, 28",H,9,verified,verified,
ECK2660,b2666,JW2641,yqaE,"19, 20",F,4,verified,verified,
ECK2661,b2667,JW2642,ygaV,"23, 24",C,1,verified,verified,
ECK2662,b2668,JW2643,ygaP,"23, 24",D,1,verified,verified,
ECK2663,b2669,JW2644,stpA,"1, 2",E,8,verified,verified,
ECK2664,b2670,JW2645,ygaW,"11, 12",E,4,verified,verified,
ECK2665,b2671,JW2646,ygaC,"11, 12",F,4,verified,verified,
ECK2666,b2672,JW2647,ygaM,"11, 12",G,4,verified,verified,
ECK2667,b2673,JW2648,nrdH,"51, 52",G,6,verified,verified,
ECK2668,b2674,JW2649,nrdI,"25, 26",E,2,verified,verified,
ECK2669,b2675,JW2650,nrdE,"53, 54",C,5,verified,verified,
ECK2670,b2676,JW2651,nrdF,"53, 54",D,5,verified,verified,
ECK2671,b2677,JW2652,proV,"57, 58",C,10,verified,verified,
ECK2672,b2678,JW2653,proW,"57, 58",D,10,verified,verified,
ECK2673,b2679,JW2654,proX,"45, 46",H,11,verified,verified,
ECK2674,b2680,JW2655,ygaX,"23, 24",E,1,verified,verified,
ECK2675,b2681,JW5428,ygaY,"79, 80",F,1,verified,verified,
ECK2676,b2682,JW2657,ygaZ,"21, 22",C,5,verified,verified,
ECK2677,b2683,JW2658,ygaH,"11, 12",H,4,verified,verified,
ECK2678,b2684,JW2659,mprA,"25, 26",F,2,verified,verified,
ECK2679,b2685,JW2660,emrA,"63, 64",D,5,verified,verified,
ECK2680,b2686,JW2661,emrB,"63, 64",E,5,verified,verified,
ECK2681,b2687,JW2662,luxS,"17, 18",G,10,verified,verified,
ECK2683,b2688,JW2663,gshA,"43, 44",C,7,verified,verified,
ECK2684,b2689,JW2664,yqaA,"17, 18",G,5,verified,verified,
ECK2685,b2690,JW2665,yqaB,"23, 24",G,1,verified,verified,
ECK2692,b2697,JW2667,alaS,"61, 62",F,4,duplication,duplication,
ECK2693,b2698,JW2668,recX,"85, 86",G,8,verified,verified,
ECK2694,b2699,JW2669,recA,"9, 10",F,2,verified,verified,
ECK2695,b2700,JW2670,ygaD,"19, 20",B,10,verified,verified,
ECK2696,b2701,JW2671,mltB,"7, 8",D,2,verified,verified,
ECK2697,b2702,JW5429,srlA,"73, 74",E,6,verified,verified,
ECK2698,b2703,JW5430,srlE,"73, 74",F,6,verified,verified,
ECK2699,b2704,JW2673,srlB,"57, 58",E,10,verified,verified,
ECK2700,b2705,JW2674,srlD,"51, 52",H,6,verified,verified,
ECK2701,b2706,JW2675,gutM,"51, 52",A,7,verified,verified,
ECK2702,b2707,JW2676,srlR,"1, 2",G,10,verified,verified,
ECK2703,b2708,JW5431,gutQ,"79, 80",G,1,verified,verified,
ECK2704,b2709,JW5843,norR,"87, 88",B,11,verified,verified,
ECK2705,b2710,JW2680,norV,"23, 24",G,3,verified,verified,
ECK2706,b2711,JW2681,norW,"23, 24",H,1,verified,verified,
ECK2707,b2712,JW5433,hypF,"51, 52",B,7,verified,verified,
ECK2708,b2713,JW2683,hydN,"51, 52",C,7,verified,verified,
ECK2709,b2714,JW5434,ascG,"89, 90",A,12,verified,verified,
ECK2710,b2715,JW5435,ascF,"57, 58",F,10,verified,verified,
ECK2711,b2716,JW2686,ascB,"51, 52",D,7,verified,verified,
ECK2712,b2717,JW2687,hycI,"9, 10",H,2,verified,verified,
ECK2713,b2718,JW2688,hycH,"9, 10",G,2,verified,verified,
ECK2714,b2719,JW2689,hycG,"51, 52",E,7,verified,verified,
ECK2715,b2720,JW2690,hycF,"51, 52",F,7,verified,verified,
ECK2716,b2721,JW2691,hycE,"51, 52",G,7,verified,verified,
ECK2717,b2722,JW2692,hycD,"85, 86",D,1,verified,verified,
ECK2718,b2723,JW2693,hycC,"85, 86",E,1,verified,verified,
ECK2719,b2724,JW2694,hycB,"85, 86",F,1,verified,verified,
ECK2720,b2725,JW2695,hycA,"85, 86",G,1,verified,verified,
ECK2721,b2726,JW2696,hypA,"51, 52",H,7,verified,verified,
ECK2722,b2727,JW2697,hypB,"51, 52",A,8,verified,verified,
ECK2723,b2728,JW2698,hypC,"51, 52",B,8,verified,verified,
ECK2724,b2729,JW2699,hypD,"51, 52",C,8,verified,verified,
ECK2725,b2730,JW2700,hypE,"85, 86",H,1,verified,verified,
ECK2726,b2731,JW2701,fhlA,"85, 86",A,2,verified,verified,
ECK2727,b2732,JW2702,ygbA,"11, 12",A,5,verified,verified,
ECK2728,b2733,JW2703,mutS,"79, 80",F,12,verified,verified,
ECK2729,b2734,JW2704,pphB,"25, 26",G,2,verified,verified,
ECK2730,b2735,JW2705,ygbI,"27, 28",D,5,verified,verified,
ECK2731,b2736,JW2706,ygbJ,"23, 24",C,4,verified,verified,
ECK2732,b2737,JW2707,ygbK,"17, 18",H,5,verified,verified,
ECK2733,b2738,JW2708,ygbL,"19, 20",E,11,verified,verified,
ECK2734,b2739,JW2709,ygbM,"21, 22",H,2,verified,verified,
ECK2735,b2740,JW2710,ygbN,"57, 58",G,10,verified,verified,
ECK2736,b2741,JW5437,rpoS,"79, 80",H,1,verified,verified,
ECK2737,b2742,JW2712,nlpD,"9, 10",A,3,verified,verified,
ECK2738,b2743,JW2713,pcm,"61, 62",G,4,verified,verified,
ECK2739,b2744,JW2714,surE,"63, 64",F,5,verified,verified,
ECK2740,b2745,JW2715,truD,"21, 22",B,1,verified,verified,
ECK2744,b2749,JW2719,ygbE,"11, 12",B,5,verified,verified,
ECK2745,b2750,JW2720,cysC,"47, 48",D,7,verified,verified,
